Release ; Filename ; Size ; LocTouched ; NR  ; NFix ; NAuth  ; LocAdded ; MaxLocAdded ; AvgLocAdded ; Churn ; MaxChurn ; AvgChurn ; ChgSetSize ; MaxChgSetSize ; AvgChgSetSize ; Bugginess
1;src\main\java\org\apache\hedwig\server\topics\TopicOwnershipChangeListener.java;24;28;1;0;1;28;28;0.0;28;28;0.0;278;278;278.0;no
1;src\main\java\org\apache\hedwig\server\topics\TrivialOwnAllTopicManager.java;44;56;2;0;2;54;52;1.0;52;52;0.0;284;278;225.0;yes
1;src\main\java\org\apache\hedwig\server\topics\ZkTopicManager.java;374;583;3;0;2;506;428;5.0;429;428;4.0;287;278;182.0;yes
1;src\main\java\org\apache\hedwig\zookeeper\SafeAsynBKCallback.java;79;164;2;0;2;134;104;1.0;104;104;1.0;284;278;225.0;no
1;src\main\java\org\apache\hedwig\zookeeper\SafeAsyncCallback.java;30;35;1;0;1;35;35;0.0;35;35;0.0;278;278;278.0;yes
1;src\main\java\org\apache\hedwig\zookeeper\SafeAsyncZKCallback.java;84;100;2;0;2;99;98;1.0;98;98;1.0;284;278;225.0;no
1;src\test\java\org\apache\hedwig\HelperMethods.java;51;62;2;0;2;60;57;1.0;58;57;1.0;284;278;225.0;no
1;src\test\java\org\apache\hedwig\StubCallback.java;42;51;1;0;1;51;51;0.0;51;51;0.0;278;278;278.0;no
1;src\test\java\org\apache\hedwig\StubScanCallback.java;47;57;1;0;1;57;57;1.0;57;57;1.0;278;278;278.0;no
1;src\test\java\org\apache\hedwig\client\TestPubSubClient.java;205;270;3;0;2;250;230;2.0;230;230;2.0;286;278;160.0;yes
1;src\test\java\org\apache\hedwig\server\HedwigHubTestBase.java;114;142;3;0;2;138;133;1.0;134;133;1.0;287;278;182.0;yes
1;src\test\java\org\apache\hedwig\server\HedwigRegionTestBase.java;194;238;4;0;2;230;221;2.0;222;221;2.0;289;278;144.0;yes
1;src\test\java\org\apache\hedwig\server\PubSubServerStandAloneTestBase.java;52;66;2;0;2;64;61;1.0;62;61;1.0;285;278;187.0;yes
